Product-ID,Base-Name,Price,Volume 24h
MOG-USD,Mog Coin,0.0000011,3622111918588.0
MOG-USDC,Mog Coin,0.0000011,3622111918588.0
PEPE-USD,Pepe,0.00001254,1803817308121.0
PEPE-USDC,Pepe,0.00001254,1803817308121.0
BONK-USD,Bonk,0.00001728,509012283516.0
BONK-USDC,Bonk,0.00001728,509012283516.0
SHIB-USDC,SHIBA INU,0.00001308,228508071138.0
SHIB-USD,SHIBA INU,0.00001308,228508071138.0
SHIB-EUR,SHIBA INU,0.00001143,27411366978.0
TOSHI-USD,Toshi,0.0005894,12209710022.0
TOSHI-USDC,Toshi,0.0005894,12209710022.0
SHIB-GBP,SHIBA INU,0.00000965,11008876997.0
SHIB-USDT,SHIBA INU,0.000013,8655050873.0
FLOKI-USD,FLOKI,0.0000909,7151005541.0
FLOKI-USDC,FLOKI,0.0000909,7151005541.0
DOGINME-USDC,doginme,0.00067,1937671644.0
DOGINME-USD,doginme,0.00067,1937671644.0
XCN-USD,Onyxcoin,0.01547,493175377.0
XCN-USDC,Onyxcoin,0.01547,493175377.0
MOBILE-USD,Helium Mobile,0.000379,471740724.0
MOBILE-USDC,Helium Mobile,0.000379,471740724.0
TURBO-USDC,Turbo,0.004385,399525215.0
TURBO-USD,Turbo,0.004385,399525215.0
DEGEN-USDC,Degen,0.004605,395105277.0
DEGEN-USD,Degen,0.004605,395105277.0
PENGU-USDC,Pudgy Penguins,0.0109,335425324.0
PENGU-USD,Pudgy Penguins,0.0109,335425324.0
B3-USD,B3 (Base),0.00307,309789493.0
B3-USDC,B3 (Base),0.00307,309789493.0
AMP-USDC,Amp,0.00403,292280705.0
AMP-USD,Amp,0.00403,292280705.0
SWFTC-USD,SwftCoin,0.012768,227080180.0
SWFTC-USDC,SwftCoin,0.012768,227080180.0
SPELL-USDC,Spell Token,0.0005419,205910814.0
SPELL-USD,Spell Token,0.0005419,205910814.0
DOGE-USD,Dogecoin,0.19359,164719814.0
DOGE-USDC,Dogecoin,0.19359,164719814.0
JASMY-USDC,Jasmy,0.01477,144819752.0
JASMY-USD,Jasmy,0.01477,144819752.0
MOODENG-USDC,Moo Deng,0.2114,101869032.76
MOODENG-USD,Moo Deng,0.2114,101869032.76
KEYCAT-USD,Keyboard Cat,0.004818,101868502.0
KEYCAT-USDC,Keyboard Cat,0.004818,101868502.0
GIGA-USDC,Gigachad,0.02317,100277832.4
GIGA-USD,Gigachad,0.02317,100277832.4
HBAR-USDC,Hedera,0.17774,98886235.3
HBAR-USD,Hedera,0.17774,98886235.3
XRP-USD,XRP,2.3145,67759045.037729
XRP-USDC,XRP,2.3145,67759045.037729
ZORA-USD,Zora,0.01118,56863995.0
ZORA-USDC,Zora,0.01118,56863995.0
USDT-USD,Tether,1.00044,53439375.49
VARA-USD,Vara,0.00619,48493694.0
VARA-USDC,Vara,0.00619,48493694.0
XLM-USD,Stellar Lumens,0.274597,44841697.79064006
XLM-USDC,Stellar Lumens,0.274597,44841697.79064006
VTHO-USD,VeThor Token,0.002186,41356982.0
VTHO-USDC,VeThor Token,0.002186,41356982.0
ACH-USD,Alchemy Pay,0.021531,40868285.7
ACH-USDC,Alchemy Pay,0.021531,40868285.7
ACS-USD,Access,0.0012626,40825650.0
ACS-USDC,Access,0.0012626,40825650.0
FAI-USD,Freysa,0.02054,40454641.0
FAI-USDC,Freysa,0.02054,40454641.0
FLR-USD,Flare,0.0188,40405018.0
FLR-USDC,Flare,0.0188,40405018.0
XYO-USD,XYO,0.01099,39053224.8
XYO-USDC,XYO,0.01099,39053224.8
PIRATE-USD,Pirate Nation Token,0.0583,35711011.3
PIRATE-USDC,Pirate Nation Token,0.0583,35711011.3
VET-USDC,vechain,0.02513,34265699.0
VET-USD,vechain,0.02513,34265699.0
USDC-EUR,USDC,0.8748,31331716.11
VOXEL-USDC,Voxies,0.0594,31150060.58
VOXEL-USD,Voxies,0.0594,31150060.58
RSR-USDC,Reserve Rights,0.007281,28478838.0
RSR-USD,Reserve Rights,0.007281,28478838.0
L3-USDC,Layer3,0.06354,26894533.9
L3-USD,Layer3,0.06354,26894533.9
COOKIE-USD,Cookie DAO,0.2587,26511891.9
