Product-ID,Base-Name,Price,Price Percentage Change 24h,Volume 24h,Base Currency ID,Quote Currency ID
MOG-USDC,Mog Coin,0.00000118,0.85470085470085,3178003819834.0,MOG,USDC
MOG-USD,Mog Coin,0.00000118,0.85470085470085,3178003819834.0,MOG,USD
PEPE-USD,Pepe,0.0000145,5.22496371552975,2942958839660.0,PEPE,USD
PEPE-USDC,Pepe,0.0000145,5.22496371552975,2942958839660.0,PEPE,USDC
BONK-USD,Bonk,0.00002006,-1.42506142506143,572217659463.0,BONK,USD
BONK-USDC,Bonk,0.00002006,-1.42506142506143,572217659463.0,BONK,USDC
SHIB-USD,SHIBA INU,0.00001441,0.69881201956674,390229823949.0,SHIB,USD
SHIB-USDC,SHIBA INU,0.00001441,0.69881201956674,390229823949.0,SHIB,USDC
SHIB-EUR,SHIBA INU,0.00001277,1.10847189231987,63676282162.0,SHIB,EUR
SHIB-USDT,SHIBA INU,0.0000144,0.6993006993007,17821471971.0,SHIB,USDT
SHIB-GBP,SHIBA INU,0.0000107,0.84825636192271,16653153525.0,SHIB,GBP
FLOKI-USD,FLOKI,0.0001029,1.98216055500496,11333214911.0,FLOKI,USD
FLOKI-USDC,FLOKI,0.0001029,1.98216055500496,11333214911.0,FLOKI,USDC
TOSHI-USDC,Toshi,0.0006817,-4.51043563524303,8684537989.0,TOSHI,USDC
TOSHI-USD,Toshi,0.0006817,-4.51043563524303,8684537989.0,TOSHI,USD
MOBILE-USD,Helium Mobile,0.000459,1.77383592017738,3289026066.0,MOBILE,USD
MOBILE-USDC,Helium Mobile,0.000459,1.77383592017738,3289026066.0,MOBILE,USDC
B3-USDC,B3 (Base),0.003812,-28.00755429650614,2293509887.0,B3,USDC
B3-USD,B3 (Base),0.003812,-28.00755429650614,2293509887.0,B3,USD
DOGINME-USDC,doginme,0.0007627,-0.6512960791976,1467678716.0,DOGINME,USDC
DOGINME-USD,doginme,0.0007627,-0.6512960791976,1467678716.0,DOGINME,USD
SPELL-USD,Spell Token,0.0005946,-0.83388925950634,825477314.0,SPELL,USD
SPELL-USDC,Spell Token,0.0005946,-0.83388925950634,825477314.0,SPELL,USDC
DEGEN-USD,Degen,0.005461,-1.63904899135447,682000013.0,DEGEN,USD
DEGEN-USDC,Degen,0.005461,-1.63904899135447,682000013.0,DEGEN,USDC
TURBO-USDC,Turbo,0.0052,-0.78229345544743,391496099.0,TURBO,USDC
TURBO-USD,Turbo,0.0052,-0.78229345544743,391496099.0,TURBO,USD
XCN-USDC,Onyxcoin,0.0182,-1.46182999458581,255567616.7,XCN,USDC
XCN-USD,Onyxcoin,0.0182,-1.46182999458581,255567616.7,XCN,USD
PENGU-USDC,Pudgy Penguins,0.01243,-1.89423835832676,252944174.0,PENGU,USDC
PENGU-USD,Pudgy Penguins,0.01243,-1.89423835832676,252944174.0,PENGU,USD
JASMY-USD,Jasmy,0.01716,-2.22222222222222,227198548.0,JASMY,USD
JASMY-USDC,Jasmy,0.01716,-2.22222222222222,227198548.0,JASMY,USDC
VTHO-USD,VeThor Token,0.002427,-1.86008896077638,199519012.0,VTHO,USD
VTHO-USDC,VeThor Token,0.002427,-1.86008896077638,199519012.0,VTHO,USDC
KEYCAT-USD,Keyboard Cat,0.005374,-1.59311481413661,190208275.0,KEYCAT,USD
KEYCAT-USDC,Keyboard Cat,0.005374,-1.59311481413661,190208275.0,KEYCAT,USDC
AMP-USD,Amp,0.00455,-0.21929824561404,164649500.0,AMP,USD
AMP-USDC,Amp,0.00455,-0.21929824561404,164649500.0,AMP,USDC
ACS-USD,Access,0.0014153,-0.70857303213133,163784154.0,ACS,USD
ACS-USDC,Access,0.0014153,-0.70857303213133,163784154.0,ACS,USDC
DOGE-USDC,Dogecoin,0.22474,0.66741321388578,156221723.6,DOGE,USDC
DOGE-USD,Dogecoin,0.22474,0.66741321388578,156221723.6,DOGE,USD
MOODENG-USDC,Moo Deng,0.2446,-1.13177041228779,133731760.09,MOODENG,USDC
MOODENG-USD,Moo Deng,0.2446,-1.13177041228779,133731760.09,MOODENG,USD
SWELL-USD,SWELL,0.01084,-1.81159420289855,98629044.0,SWELL,USD
SWELL-USDC,SWELL,0.01084,-1.81159420289855,98629044.0,SWELL,USDC
USDT-USD,Tether,1.00035,-0.01199436264955,91004409.54,USDT,USD
GIGA-USDC,Gigachad,0.02217,-3.52480417754569,89598629.1,GIGA,USDC
GIGA-USD,Gigachad,0.02217,-3.52480417754569,89598629.1,GIGA,USD
HBAR-USD,Hedera,0.18587,-0.17186744723132,72403344.8,HBAR,USD
HBAR-USDC,Hedera,0.18587,-0.17186744723132,72403344.8,HBAR,USDC
VET-USD,vechain,0.02708,-2.58992805755396,71196253.0,VET,USD
VET-USDC,vechain,0.02708,-2.58992805755396,71196253.0,VET,USDC
ZORA-USDC,Zora,0.01023,-1.63461538461538,66804997.0,ZORA,USDC
ZORA-USD,Zora,0.01023,-1.63461538461538,66804997.0,ZORA,USD
XRP-USDC,XRP,2.28365,-0.53355982403415,66476245.744011,XRP,USDC
XRP-USD,XRP,2.28365,-0.53355982403415,66476245.744011,XRP,USD
SWFTC-USD,SwftCoin,0.013964,-1.64811945344415,60380790.0,SWFTC,USD
SWFTC-USDC,SwftCoin,0.013964,-1.64811945344415,60380790.0,SWFTC,USDC
ACH-USD,Alchemy Pay,0.023693,-1.14323861976885,59721729.2,ACH,USD
ACH-USDC,Alchemy Pay,0.023693,-1.14323861976885,59721729.2,ACH,USDC
XLM-USD,Stellar Lumens,0.285248,-0.47937701920997,58810927.69827781,XLM,USD
