Product-ID,Base-Name,Price,Volume 24h
PEPE-USD,Pepe,0.00001162,2901151044982.0
PEPE-USDC,Pepe,0.00001162,2901151044982.0
MOG-USDC,Mog Coin,0.00000092,1974739937170.0
MOG-USD,Mog Coin,0.00000092,1974739937170.0
BONK-USD,Bonk,0.00001639,601053926365.0
BONK-USDC,Bonk,0.00001639,601053926365.0
SHIB-USDC,SHIBA INU,0.00001276,393203506246.0
SHIB-USD,SHIBA INU,0.00001276,393203506246.0
SHIB-EUR,SHIBA INU,0.00001128,78078354724.0
SHIB-USDT,SHIBA INU,0.0000128,18914760385.0
TOSHI-USD,Toshi,0.0005711,14949767507.0
TOSHI-USDC,Toshi,0.0005711,14949767507.0
SHIB-GBP,SHIBA INU,0.00000951,13032688700.0
FLOKI-USD,FLOKI,0.0000848,8127865992.0
FLOKI-USDC,FLOKI,0.0000848,8127865992.0
SPELL-USD,Spell Token,0.0005279,4685203957.0
SPELL-USDC,Spell Token,0.0005279,4685203957.0
DOGINME-USD,doginme,0.0006844,2373256088.0
DOGINME-USDC,doginme,0.0006844,2373256088.0
DEGEN-USD,Degen,0.004709,966721025.0
DEGEN-USDC,Degen,0.004709,966721025.0
B3-USD,B3 (Base),0.00311,839357022.0
B3-USDC,B3 (Base),0.00311,839357022.0
MOBILE-USDC,Helium Mobile,0.000394,627337927.0
MOBILE-USD,Helium Mobile,0.000394,627337927.0
AMP-USD,Amp,0.00412,615405533.0
AMP-USDC,Amp,0.00412,615405533.0
XCN-USDC,Onyxcoin,0.01571,490145034.5
XCN-USD,Onyxcoin,0.01571,490145034.5
TURBO-USD,Turbo,0.004281,421956038.0
TURBO-USDC,Turbo,0.004281,421956038.0
KEYCAT-USDC,Keyboard Cat,0.004679,414843333.0
KEYCAT-USD,Keyboard Cat,0.004679,414843333.0
PENGU-USDC,Pudgy Penguins,0.01013,349881899.0
PENGU-USD,Pudgy Penguins,0.01013,349881899.0
DOGE-USDC,Dogecoin,0.19158,219507621.6
DOGE-USD,Dogecoin,0.19158,219507621.6
JASMY-USDC,Jasmy,0.0153,207978333.0
JASMY-USD,Jasmy,0.0153,207978333.0
GIGA-USDC,Gigachad,0.02275,171520695.0
GIGA-USD,Gigachad,0.02275,171520695.0
MOODENG-USD,Moo Deng,0.2016,154000274.99
MOODENG-USDC,Moo Deng,0.2016,154000274.99
WELL-USDC,Moonwell,0.038478,128099658.0
WELL-USD,Moonwell,0.038478,128099658.0
VTHO-USD,VeThor Token,0.002133,108395722.0
VTHO-USDC,VeThor Token,0.002133,108395722.0
HBAR-USD,Hedera,0.16664,104485094.5
HBAR-USDC,Hedera,0.16664,104485094.5
FLR-USD,Flare,0.01731,86753051.0
FLR-USDC,Flare,0.01731,86753051.0
ACS-USD,Access,0.0012914,72464540.0
ACS-USDC,Access,0.0012914,72464540.0
VET-USD,vechain,0.02409,70052485.0
VET-USDC,vechain,0.02409,70052485.0
ACH-USD,Alchemy Pay,0.021702,69402491.7
ACH-USDC,Alchemy Pay,0.021702,69402491.7
CRO-USD,Cronos,0.1049,65952303.7
CRO-USDC,Cronos,0.1049,65952303.7
XRP-USD,XRP,2.1698,59446619.945385
XRP-USDC,XRP,2.1698,59446619.945385
ZORA-USD,Zora,0.00941,55550475.0
ZORA-USDC,Zora,0.00941,55550475.0
SWFTC-USD,SwftCoin,0.013152,54439015.0
SWFTC-USDC,SwftCoin,0.013152,54439015.0
FAI-USDC,Freysa,0.01948,51621052.0
FAI-USD,Freysa,0.01948,51621052.0
XLM-USD,Stellar Lumens,0.264099,49709907.85151905
XLM-USDC,Stellar Lumens,0.264099,49709907.85151905
RSR-USDC,Reserve Rights,0.007176,45496626.0
RSR-USD,Reserve Rights,0.007176,45496626.0
ARPA-USDC,ARPA Chain,0.0218,41572919.3
ARPA-USD,ARPA Chain,0.0218,41572919.3
ADA-USD,Cardano,0.682,34405670.59400486
ADA-USDC,Cardano,0.682,34405670.59400486
XYO-USDC,XYO,0.01103,32800683.3
XYO-USD,XYO,0.01103,32800683.3
SWELL-USDC,SWELL,0.00907,31096767.0
SWELL-USD,SWELL,0.00907,31096767.0
GST-USD,Green Satoshi Token,0.007843,28927646.53
GST-USDC,Green Satoshi Token,0.007843,28927646.53
VOXEL-USD,Voxies,0.057,27079394.44
VOXEL-USDC,Voxies,0.057,27079394.44
FOX-USDC,Shapeshift FOX Token,0.0299,26919195.6
FOX-USD,Shapeshift FOX Token,0.0299,26919195.6
FX-USDC,Function X,0.1854,25882406.8
FX-USD,Function X,0.1854,25882406.8
VARA-USD,Vara,0.006,25814306.0
VARA-USDC,Vara,0.006,25814306.0
USDT-USD,Tether,1.00049,24241487.3
COOKIE-USD,Cookie DAO,0.2172,23466947.0
COOKIE-USDC,Cookie DAO,0.2172,23466947.0
ATH-USDC,Aethir,0.04704,23162195.0
ATH-USD,Aethir,0.04704,23162195.0
SPA-USDC,Sperax,0.015615,22937427.0
SPA-USD,Sperax,0.015615,22937427.0
RBN-USD,Ribbon Finance,0.14399,22866638.86
RBN-USDC,Ribbon Finance,0.14399,22866638.86
SYRUP-USDC,Maple Finance,0.3434,22571508.9
SYRUP-USD,Maple Finance,0.3434,22571508.9
NCT-USDC,PolySwarm,0.01915,22499362.0
NCT-USD,PolySwarm,0.01915,22499362.0
ANKR-USD,Ankr,0.01602,21541038.0
ANKR-USDC,Ankr,0.01602,21541038.0
POPCAT-USD,Popcat (SOL),0.3648,20811163.31
POPCAT-USDC,Popcat (SOL),0.3648,20811163.31
BLAST-USD,Blast,0.00281,20440081.0
BLAST-USDC,Blast,0.00281,20440081.0
ROSE-USD,Oasis Network,0.0285,20206587.6
ROSE-USDC,Oasis Network,0.0285,20206587.6
SKL-USDC,SKALE,0.0209,19172132.6
SKL-USD,SKALE,0.0209,19172132.6
ALGO-USDC,Algorand,0.1929,17723941.5
ALGO-USD,Algorand,0.1929,17723941.5
ONDO-USD,Ondo Finance,0.82698,17427581.61
ONDO-USDC,Ondo Finance,0.82698,17427581.61
SUI-USD,SUI,3.2285,17214365.2
SUI-USDC,SUI,3.2285,17214365.2
NKN-USD,NKN,0.0296,16483982.1
NKN-USDC,NKN,0.0296,16483982.1
ASM-USDC,Assemble AI,0.01999,15851502.0
ASM-USD,Assemble AI,0.01999,15851502.0
GRT-USDC,The Graph,0.0945,15812489.22
GRT-USD,The Graph,0.0945,15812489.22
CELR-USDC,Celer Network,0.00817,15570645.0
CELR-USD,Celer Network,0.00817,15570645.0
HBAR-USDT,Hedera,0.16659,15569409.4
SXT-USD,Space and Time,0.1009,15207580.9
SXT-USDC,Space and Time,0.1009,15207580.9
WIF-USD,dogwifhat,0.847,14967937.07
WIF-USDC,dogwifhat,0.847,14967937.07
SHPING-USDC,SHPING,0.005971,14851598.0
SHPING-USD,SHPING,0.005971,14851598.0
PNUT-USDC,Peanut the Squirrel,0.2587,14814878.57
PNUT-USD,Peanut the Squirrel,0.2587,14814878.57
QI-USD,BENQI,0.007627,14139828.0
QI-USDC,BENQI,0.007627,14139828.0
FET-USDC,Artificial Superintelligence Alliance,0.741,13654069.1
FET-USD,Artificial Superintelligence Alliance,0.741,13654069.1
DOGE-USDT,Dogecoin,0.1915,12547425.8
ALEPH-USDC,Aleph Cloud,0.0585,11911293.9
ALEPH-USD,Aleph Cloud,0.0585,11911293.9
OGN-USD,Origin Token,0.05705,11710751.09
OGN-USDC,Origin Token,0.05705,11710751.09
REZ-USD,Renzo,0.01115,11605145.0
REZ-USDC,Renzo,0.01115,11605145.0
AERGO-USD,Aergo,0.1177,11445678.5
AERGO-USDC,Aergo,0.1177,11445678.5
SEI-USDC,Sei,0.1929,10877694.7
SEI-USD,Sei,0.1929,10877694.7
ARB-USDC,Arbitrum,0.3367,10103348.37
ARB-USD,Arbitrum,0.3367,10103348.37
PIRATE-USDC,Pirate Nation Token,0.0522,9837850.1
PIRATE-USD,Pirate Nation Token,0.0522,9837850.1
COTI-USD,COTI,0.0598,9520093.3
COTI-USDC,COTI,0.0598,9520093.3
GODS-USDC,Gods Unchained,0.14939,9366661.53
GODS-USD,Gods Unchained,0.14939,9366661.53
HONEY-USD,Hivemapper,0.0254,9111907.3
HONEY-USDC,Hivemapper,0.0254,9111907.3
HFT-USD,Hashflow,0.0588,8692955.24
HFT-USDC,Hashflow,0.0588,8692955.24
RARE-USD,SuperRare,0.0548,8573885.7
RARE-USDC,SuperRare,0.0548,8573885.7
CRV-USDC,Curve DAO Token,0.6601,8368953.48
CRV-USD,Curve DAO Token,0.6601,8368953.48
CLV-USD,Clover Finance,0.0256,8215308.41
CLV-USDC,Clover Finance,0.0256,8215308.41
KARRAT-USDC,Karrat,0.0517,8020544.55
KARRAT-USD,Karrat,0.0517,8020544.55
SUKU-USD,SUKU,0.0312,7928223.1
SUKU-USDC,SUKU,0.0312,7928223.1
DOGE-EUR,Dogecoin,0.1689,7911941.1
USDC-EUR,USDC,0.8821,7828392.43
AERO-USDC,Aerodrome Finance,0.51441,7738568.2
AERO-USD,Aerodrome Finance,0.51441,7738568.2
ZK-USD,ZKsync,0.05289,7324633.7
ZK-USDC,ZKsync,0.05289,7324633.7
PYTH-USDC,Pyth Network,0.1178,7221539.8
PYTH-USD,Pyth Network,0.1178,7221539.8
PROMPT-USD,Wayfinder,0.18679,7203670.6
PROMPT-USDC,Wayfinder,0.18679,7203670.6
EDGE-USDC,Definitive,0.0895,6888201.3
EDGE-USD,Definitive,0.0895,6888201.3
VELO-USDC,Velodrome Finance,0.05144,6887235.0
VELO-USD,Velodrome Finance,0.05144,6887235.0
AIOZ-USD,AIOZ Network,0.3778,6843488.3
AIOZ-USDC,AIOZ Network,0.3778,6843488.3
KERNEL-USDC,KernelDAO,0.1465,6567372.11
KERNEL-USD,KernelDAO,0.1465,6567372.11
DOGE-GBP,Dogecoin,0.1424,6566490.4
00-USD,00 Token,0.0169,6528238.21
00-USDC,00 Token,0.0169,6528238.21
BIGTIME-USDC,Big Time,0.06081,6464087.0
BIGTIME-USD,Big Time,0.06081,6464087.0
TRU-USDC,TrueFi,0.0358,6018991.6
TRU-USD,TrueFi,0.0358,6018991.6
L3-USD,Layer3,0.04434,5577382.5
L3-USDC,Layer3,0.04434,5577382.5
IOTX-USDC,IoTeX,0.02613,5371516.0
IOTX-USD,IoTeX,0.02613,5371516.0
FORT-USD,Forta,0.0681,5152266.92
FORT-USDC,Forta,0.0681,5152266.92
OXT-USDC,Orchid,0.0549,5137968.0
OXT-USD,Orchid,0.0549,5137968.0
GMT-USD,STEPN,0.0491,5082844.31
GMT-USDC,STEPN,0.0491,5082844.31
FIDA-USD,Bonfida,0.0717,4973454.13
FIDA-USDC,Bonfida,0.0717,4973454.13
SAFE-USD,Safe,0.529,4944866.43
SAFE-USDC,Safe,0.529,4944866.43
SHDW-USDC,Shadow Token,0.117,4925669.53
SHDW-USD,Shadow Token,0.117,4925669.53
T-USDC,Threshold,0.01485,4873614.0
T-USD,Threshold,0.01485,4873614.0
LRC-USD,Loopring,0.0862,4733521.292265
LRC-USDC,Loopring,0.0862,4733521.292265
MATIC-USD,Polygon,0.2141,4378357.0
MATIC-USDC,Polygon,0.2141,4378357.0
POL-USD,Polygon Ecosystem Token,0.2135,3823210.55
POL-USDC,Polygon Ecosystem Token,0.2135,3823210.55
EOS-USDC,EOS,0.6106,3757236.1
EOS-USD,EOS,0.6106,3757236.1
BLZ-USD,Bluzelle,0.0376,3668668.4
BLZ-USDC,Bluzelle,0.0376,3668668.4
MATH-USD,MATH,0.1213,3586101.5
MATH-USDC,MATH,0.1213,3586101.5
AUDIO-USD,Audius,0.0695,3546005.1
AUDIO-USDC,Audius,0.0695,3546005.1
LPT-USDC,Livepeer,9.31,3493555.005
LPT-USD,Livepeer,9.31,3493555.005
STRK-USDC,Starknet Token,0.133,3416652.09
STRK-USD,Starknet Token,0.133,3416652.09
TNSR-USD,Tensor,0.13,3412927.98
TNSR-USDC,Tensor,0.13,3412927.98
IMX-USD,Immutable,0.5462,3368703.17
IMX-USDC,Immutable,0.5462,3368703.17
NEON-USDC,Neon EVM,0.11557,3188853.75
NEON-USD,Neon EVM,0.11557,3188853.75
IDEX-USD,IDEX,0.0234,3174351.4
IDEX-USDC,IDEX,0.0234,3174351.4
EURC-USDC,EURC,1.1334,3167913.0
OP-USDC,Optimism,0.647,3071728.62
OP-USD,Optimism,0.647,3071728.62
STX-USD,Stacks,0.737,3055625.41
STX-USDC,Stacks,0.737,3055625.41
AST-USD,AirSwap,0.039,2991605.9
AST-USDC,AirSwap,0.039,2991605.9
PRCL-USDC,Parcl,0.0964,2949461.0
PRCL-USD,Parcl,0.0964,2949461.0
GRT-EUR,The Graph,0.0839,2820083.4
BLUR-USD,Blur,0.0883,2693995.0
BLUR-USDC,Blur,0.0883,2693995.0
HOPR-USD,HOPR,0.0455,2672170.5
HOPR-USDC,HOPR,0.0455,2672170.5
BOBA-USDC,Boba Network,0.0926,2586206.4
BOBA-USD,Boba Network,0.0926,2586206.4
KAITO-USDC,Kaito,1.9433,2548490.02
KAITO-USD,Kaito,1.9433,2548490.02
ADA-EUR,Cardano,0.6018,2433635.49
COW-USDC,CoW Protocol,0.3725,2373985.5
COW-USD,CoW Protocol,0.3725,2373985.5
SYN-USDC,Synapse,0.165,2360261.01
SYN-USD,Synapse,0.165,2360261.01
LDO-USD,Lido DAO Token,0.829,2308585.26
LDO-USDC,Lido DAO Token,0.829,2308585.26
USDC-GBP,USDC,0.7437,2295136.58
SAND-USDC,The Sandbox,0.2702,2205976.18
SAND-USD,The Sandbox,0.2702,2205976.18
DOGE-BTC,Dogecoin,0.00000184,2098766.6
SUPER-USD,SuperVerse,0.66994,1960855.41
SUPER-USDC,SuperVerse,0.66994,1960855.41
MANA-USDC,Decentraland,0.2722,1933982.52
MANA-USD,Decentraland,0.2722,1933982.52
SUSHI-USDC,SushiSwap,0.6401,1896662.04
SUSHI-USD,SushiSwap,0.6401,1896662.04
CHZ-USDC,Chiliz,0.039,1891133.6
CHZ-USD,Chiliz,0.039,1891133.6
NEAR-USDC,NEAR Protocol,2.407,1851709.063
NEAR-USD,NEAR Protocol,2.407,1851709.063
CVC-USD,Civic,0.1226,1802460.6
CVC-USDC,Civic,0.1226,1802460.6
ALEO-USDC,Aleo,0.182,1794353.54
ALEO-USD,Aleo,0.182,1794353.54
POND-USDC,Marlin,0.00941,1758337.0
POND-USD,Marlin,0.00941,1758337.0
MAGIC-USD,MAGIC,0.1302,1750355.91
MAGIC-USDC,MAGIC,0.1302,1750355.91
CTSI-USDC,Cartesi,0.0641,1729400.4
CTSI-USD,Cartesi,0.0641,1729400.4
RENDER-USD,Render,3.859,1698705.68
RENDER-USDC,Render,3.859,1698705.68
A8-USD,Ancient8,0.1212,1680344.49
A8-USDC,Ancient8,0.1212,1680344.49
FET-USDT,Artificial Superintelligence Alliance,0.7402,1598729.3
LCX-USDC,LCX,0.1311,1586387.4
LCX-USD,LCX,0.1311,1586387.4
ALGO-EUR,Algorand,0.1704,1581314.0
ZRX-USD,0x Protocol,0.236402,1560104.43759
ZRX-USDC,0x Protocol,0.236402,1560104.43759
GRT-GBP,The Graph,0.0703,1457489.0
ROSE-USDT,Oasis Network,0.0288,1452217.5
DNT-USDC,district0x,0.0273,1450441.4
DNT-USD,district0x,0.0273,1450441.4
DRIFT-USD,Drift Protocol,0.593,1395938.64
DRIFT-USDC,Drift Protocol,0.593,1395938.64
ALT-USDC,Altlayer,0.02699,1358798.0
ALT-USD,Altlayer,0.02699,1358798.0
TRUMP-USDC,OFFICIAL TRUMP,11.21,1335238.443
TRUMP-USD,OFFICIAL TRUMP,11.21,1335238.443
WLD-USDC,Worldcoin,1.128,1312826.27
WLD-USD,Worldcoin,1.128,1312826.27
AXL-USDC,Axelar,0.3132,1284775.0
AXL-USD,Axelar,0.3132,1284775.0
TIA-USDC,Celestia,2.189,1273568.55
TIA-USD,Celestia,2.189,1273568.55
ADA-GBP,Cardano,0.5072,1243502.94
UNI-USD,Uniswap,6.03,1236654.719617
UNI-USDC,Uniswap,6.03,1236654.719617
DIMO-USD,DIMO,0.06363,1230708.6
DIMO-USDC,DIMO,0.06363,1230708.6
RNDR-USD,Render (ERC-20),3.8577,1225817.7
RNDR-USDC,Render (ERC-20),3.8577,1225817.7
POLS-USDC,Polkastarter,0.218,1224693.32
POLS-USD,Polkastarter,0.218,1224693.32
PNG-USDC,Pangolin,0.16463,1218886.0
PNG-USD,Pangolin,0.16463,1218886.0
LINK-USD,Chainlink,13.896,1208436.62
LINK-USDC,Chainlink,13.896,1208436.62
