Product-ID,Base-Name,Price,Price Percentage Change 24h
NCT-USDC,PolySwarm,0.02171,18.43971631205674
NCT-USD,PolySwarm,0.02171,18.43971631205674
VARA-USD,Vara,0.00647,14.51327433628319
VARA-USDC,Vara,0.00647,14.51327433628319
UMA-USD,UMA,1.198,14.0952380952381
UMA-USDC,UMA,1.198,14.0952380952381
RNDR-EUR,Render (ERC-20),3.4485,11.46846817726347
SYRUP-USD,Maple Finance,0.4024,11.25241913187725
SYRUP-USDC,Maple Finance,0.4024,11.25241913187725
ETHFI-USD,ether.fi,1.131,10.99116781157998
ETHFI-USDC,ether.fi,1.131,10.99116781157998
MATIC-EUR,Polygon,0.1894,10.82504388531305
JTO-USD,Jito,1.8087,10.394287109375
JTO-USDC,Jito,1.8087,10.394287109375
B3-USD,B3 (Base),0.003034,10.36740632957439
B3-USDC,B3 (Base),0.003034,10.36740632957439
MATIC-USDC,Polygon,0.2159,9.87277353689567
MATIC-USD,Polygon,0.2159,9.87277353689567
POL-USD,Polygon Ecosystem Token,0.2155,9.83690112130479
POL-USDC,Polygon Ecosystem Token,0.2155,9.83690112130479
MATIC-GBP,Polygon,0.1594,9.77961432506887
FLOKI-USDC,FLOKI,0.0000822,9.74632843791722
FLOKI-USD,FLOKI,0.0000822,9.74632843791722
MATIC-USDT,Polygon,0.216,9.64467005076142
SUI-USD,SUI,3.1791,9.23991478248918
SUI-USDC,SUI,3.1791,9.23991478248918
TURBO-USDC,Turbo,0.003962,8.96589658965897
TURBO-USD,Turbo,0.003962,8.96589658965897
RNDR-USDT,Render (ERC-20),3.77,8.16238703198967
ELA-USD,Elastos,1.456,7.93180133432172
ELA-USDC,Elastos,1.456,7.93180133432172
MOG-USD,Mog Coin,0.00000083,7.79220779220779
MOG-USDC,Mog Coin,0.00000083,7.79220779220779
RNDR-USD,Render (ERC-20),3.7668,7.69362724075821
RNDR-USDC,Render (ERC-20),3.7668,7.69362724075821
RENDER-USDC,Render,3.768,7.68791083166619
RENDER-USD,Render,3.768,7.68791083166619
PRIME-USD,Echelon Prime,2.699,7.65855604307938
PRIME-USDC,Echelon Prime,2.699,7.65855604307938
EDGE-USD,Definitive,0.07991,7.55047106325707
EDGE-USDC,Definitive,0.07991,7.55047106325707
ADA-EUR,Cardano,0.5847,7.42237736542348
SUPER-USD,SuperVerse,0.62704,7.41768595607634
SUPER-USDC,SuperVerse,0.62704,7.41768595607634
ADA-USDT,Cardano,0.6652,7.3942525024217
LINK-USDT,Chainlink,13.56,7.19367588932806
SAND-USDC,The Sandbox,0.2713,7.14849921011058
SAND-USD,The Sandbox,0.2713,7.14849921011058
INJ-USD,Injective,12.084,7.13715754942814
INJ-USDC,Injective,12.084,7.13715754942814
LTC-GBP,Litecoin,64.84,7.12043614736494
ADA-GBP,Cardano,0.492,7.11952971913782
SAND-USDT,The Sandbox,0.2712,7.10900473933649
ALGO-EUR,Algorand,0.166,7.09677419354839
LINK-GBP,Chainlink,10.03,7.04375667022412
GIGA-USDC,Gigachad,0.02087,6.97078421322399
GIGA-USD,Gigachad,0.02087,6.97078421322399
LTC-EUR,Litecoin,77.01,6.95833333333333
KEYCAT-USD,Keyboard Cat,0.004106,6.95493618129721
KEYCAT-USDC,Keyboard Cat,0.004106,6.95493618129721
LINK-EUR,Chainlink,11.88,6.93069306930693
ADA-USD,Cardano,0.6661,6.91813804173355
ADA-USDC,Cardano,0.6661,6.91813804173355
PRO-USD,Propy,0.8774,6.85665570576057
PRO-USDC,Propy,0.8774,6.85665570576057
SD-USD,Stader,0.5055,6.84844641724794
SD-USDC,Stader,0.5055,6.84844641724794
PNG-USD,Pangolin,0.1517,6.83098591549296
PNG-USDC,Pangolin,0.1517,6.83098591549296
LINK-USD,Chainlink,13.573,6.72275515018085
LINK-USDC,Chainlink,13.573,6.72275515018085
OXT-USDC,Orchid,0.056,6.66666666666667
OXT-USD,Orchid,0.056,6.66666666666667
MOBILE-USD,Helium Mobile,0.000369,6.64739884393064
MOBILE-USDC,Helium Mobile,0.000369,6.64739884393064
ALGO-GBP,Algorand,0.1395,6.56990068754775
FX-USD,Function X,0.1647,6.53298835705045
FX-USDC,Function X,0.1647,6.53298835705045
AUCTION-USD,Bounce Token,10.46,6.5173116089613
AUCTION-USDC,Bounce Token,10.46,6.5173116089613
PEPE-USDC,Pepe,0.00001113,6.40535372848948
PEPE-USD,Pepe,0.00001113,6.40535372848948
DOGE-USDT,Dogecoin,0.1796,6.39810426540284
BLZ-USDC,Bluzelle,0.0368,6.35838150289017
BLZ-USD,Bluzelle,0.0368,6.35838150289017
LTC-USDC,Litecoin,87.74,6.24848631629935
LTC-USD,Litecoin,87.74,6.24848631629935
DOGE-GBP,Dogecoin,0.1328,6.24
VET-USDC,vechain,0.02375,6.21645796064401
VET-USD,vechain,0.02375,6.21645796064401
ALGO-USD,Algorand,0.1893,6.10986547085202
ALGO-USDC,Algorand,0.1893,6.10986547085202
ATOM-EUR,Cosmos,3.753,6.10687022900763
DOGE-EUR,Dogecoin,0.1576,6.05652759084791
TOSHI-USD,Toshi,0.0005026,6.05612998522895
TOSHI-USDC,Toshi,0.0005026,6.05612998522895
AIOZ-USDC,AIOZ Network,0.3243,6.04970568999346
AIOZ-USD,AIOZ Network,0.3243,6.04970568999346
RSR-USDC,Reserve Rights,0.006655,6.03887826641173
RSR-USD,Reserve Rights,0.006655,6.03887826641173
AERO-USD,Aerodrome Finance,0.50692,6.02802760928676
AERO-USDC,Aerodrome Finance,0.50692,6.02802760928676
GMT-USDT,STEPN,0.0493,6.02150537634409
AVAX-USDT,Avalanche,19.59,5.94916170903191
RED-USD,Redstone,0.3368,5.91194968553459
RED-USDC,Redstone,0.3368,5.91194968553459
GODS-USD,Gods Unchained,0.13603,5.87640099626401
GODS-USDC,Gods Unchained,0.13603,5.87640099626401
PENDLE-USD,Pendle,4.039,5.84381551362683
PENDLE-USDC,Pendle,4.039,5.84381551362683
COTI-USD,COTI,0.0565,5.80524344569288
COTI-USDC,COTI,0.0565,5.80524344569288
AVAX-EUR,Avalanche,17.15,5.79888957433683
GMT-USDC,STEPN,0.0493,5.79399141630901
GMT-USD,STEPN,0.0493,5.79399141630901
ONDO-USD,Ondo Finance,0.80799,5.77862145709236
ONDO-USDC,Ondo Finance,0.80799,5.77862145709236
TRUMP-USD,OFFICIAL TRUMP,10.09,5.76519916142558
TRUMP-USDC,OFFICIAL TRUMP,10.09,5.76519916142558
ALICE-USD,MyNeighborAlice,0.406,5.72916666666667
ALICE-USDC,MyNeighborAlice,0.406,5.72916666666667
POPCAT-USD,Popcat (SOL),0.339,5.70626753975678
POPCAT-USDC,Popcat (SOL),0.339,5.70626753975678
COMP-USD,Compound,44.66,5.70414201183432
COMP-USDC,Compound,44.66,5.70414201183432
PENGU-USDC,Pudgy Penguins,0.00946,5.69832402234637
PENGU-USD,Pudgy Penguins,0.00946,5.69832402234637
EIGEN-USDC,EigenLayer,1.376,5.68356374807988
EIGEN-USD,EigenLayer,1.376,5.68356374807988
NEON-USDC,Neon EVM,0.11666,5.67028985507246
NEON-USD,Neon EVM,0.11666,5.67028985507246
MATIC-BTC,Polygon,0.00000206,5.64102564102564
MSOL-USDC,Marinade Staked SOL,194.44,5.63372629977726
MSOL-USD,Marinade Staked SOL,194.44,5.63372629977726
AAVE-EUR,Aave,222.91,5.60451013833618
GRT-EUR,The Graph,0.0793,5.59254327563249
DOGE-USDC,Dogecoin,0.17968,5.54511278195489
DOGE-USD,Dogecoin,0.17968,5.54511278195489
HBAR-USDT,Hedera,0.16543,5.53074763970401
GRT-GBP,The Graph,0.0669,5.5205047318612
HBAR-USD,Hedera,0.1656,5.51130933418286
HBAR-USDC,Hedera,0.1656,5.51130933418286
A8-USDC,Ancient8,0.1131,5.50373134328358
A8-USD,Ancient8,0.1131,5.50373134328358
MANA-USD,Decentraland,0.2704,5.5013655872025
MANA-USDC,Decentraland,0.2704,5.5013655872025
AAVE-GBP,Aave,187.71,5.49654358455572
AXS-EUR,Axie Infinity,2.12,5.4726368159204
POLS-USDC,Polkastarter,0.2161,5.46608101512933
POLS-USD,Polkastarter,0.2161,5.46608101512933
SOL-GBP,Solana,110.52,5.45801526717557
SOL-EUR,Solana,131.21,5.4488467411396
ATOM-USDT,Cosmos,4.264,5.44015825914936
ARKM-USDC,Arkham,0.504,5.43933054393305
ARKM-USD,Arkham,0.504,5.43933054393305
PNUT-USD,Peanut the Squirrel,0.2417,5.40776275621457
PNUT-USDC,Peanut the Squirrel,0.2417,5.40776275621457
SYN-USDC,Synapse,0.156,5.40540540540541
SYN-USD,Synapse,0.156,5.40540540540541
PYTH-USD,Pyth Network,0.1132,5.40037243947858
PYTH-USDC,Pyth Network,0.1132,5.40037243947858
JASMY-USD,Jasmy,0.01388,5.39104024297646
JASMY-USDC,Jasmy,0.01388,5.39104024297646
VTHO-USD,VeThor Token,0.00208,5.36980749746707
VTHO-USDC,VeThor Token,0.00208,5.36980749746707
AXS-USDT,Axie Infinity,2.415,5.36649214659686
XRP-EUR,XRP,1.9101,5.34414295168762
PERP-USDC,Perpetual Protocol,0.2375,5.32150776053215
PERP-USD,Perpetual Protocol,0.2375,5.32150776053215
LOKA-USDC,League of Kingdoms Arena,0.0556,5.3030303030303
LOKA-USD,League of Kingdoms Arena,0.0556,5.3030303030303
XCN-USDC,Onyxcoin,0.01491,5.29661016949153
XCN-USD,Onyxcoin,0.01491,5.29661016949153
EOS-EUR,EOS,0.5261,5.26210484193677
ATOM-USD,Cosmos,4.268,5.25277435265105
ATOM-USDC,Cosmos,4.268,5.25277435265105
BONK-USD,Bonk,0.00001495,5.20760028149191
BONK-USDC,Bonk,0.00001495,5.20760028149191
AAVE-USD,Aave,254.07,5.20061281106372
AAVE-USDC,Aave,254.07,5.20061281106372
BCH-EUR,Bitcoin Cash,349.72,5.18843805456131
SOL-USDT,Solana,149.41,5.09249490047127
TRU-USDC,TrueFi,0.0352,5.07462686567164
TRU-USD,TrueFi,0.0352,5.07462686567164
LA-USDC,Lagrange,1.3117,5.06207448938726
LA-USD,Lagrange,1.3117,5.06207448938726
AVAX-USD,Avalanche,19.52,5.05920344456405
AVAX-USDC,Avalanche,19.52,5.05920344456405
TAO-USD,Bittensor,368.85,5.05553973227001
TAO-USDC,Bittensor,368.85,5.05553973227001
SOL-USD,Solana,149.5,5.05235050242429
SOL-USDC,Solana,149.5,5.05235050242429
SHIB-USDT,SHIBA INU,0.0000125,5.04201680672269
XRP-USDT,XRP,2.1747,5.03767387944359
DEXT-USD,DEXTools,0.2997,5.01051156271899
DEXT-USDC,DEXTools,0.2997,5.01051156271899
HNT-USDC,Helium,2.929,4.98207885304659
HNT-USD,Helium,2.929,4.98207885304659
ATOM-GBP,Cosmos,3.161,4.98173364330787
XRP-USD,XRP,2.1764,4.93731918997107
XRP-USDC,XRP,2.1764,4.93731918997107
FIDA-USDC,Bonfida,0.0638,4.93421052631579
FIDA-USD,Bonfida,0.0638,4.93421052631579
AXS-USDC,Axie Infinity,2.406,4.92804186655037
AXS-USD,Axie Infinity,2.406,4.92804186655037
ALT-USDC,Altlayer,0.02561,4.91601802539943
ALT-USD,Altlayer,0.02561,4.91601802539943
SHIB-GBP,SHIBA INU,0.00000923,4.88636363636364
STRK-USD,Starknet Token,0.129,4.8780487804878
STRK-USDC,Starknet Token,0.129,4.8780487804878
BCH-GBP,Bitcoin Cash,292.73,4.82346200673208
SPA-USDC,Sperax,0.015,4.82180293501048
SPA-USD,Sperax,0.015,4.82180293501048
ARB-USDC,Arbitrum,0.3349,4.78723404255319
ARB-USD,Arbitrum,0.3349,4.78723404255319
POND-USDC,Marlin,0.00878,4.77326968973747
POND-USD,Marlin,0.00878,4.77326968973747
CTSI-USD,Cartesi,0.0599,4.72027972027972
CTSI-USDC,Cartesi,0.0599,4.72027972027972
BCH-USD,Bitcoin Cash,398.49,4.69772207771735
BCH-USDC,Bitcoin Cash,398.49,4.69772207771735
ETH-EUR,Ethereum,2197.43,4.69186974439601
FLR-USD,Flare,0.01812,4.67937608318891
FLR-USDC,Flare,0.01812,4.67937608318891
RARE-USDC,SuperRare,0.056,4.67289719626168
RARE-USD,SuperRare,0.056,4.67289719626168
VVV-USDC,Venice Token,2.69,4.66926070038911
VVV-USD,Venice Token,2.69,4.66926070038911
BAT-USDC,Basic Attention Token,0.12929,4.66283493888124
BAT-USD,Basic Attention Token,0.12929,4.66283493888124
NEAR-USDT,NEAR Protocol,2.331,4.6229802513465
RAD-USDC,Radworks,0.68,4.61538461538462
RAD-USD,Radworks,0.68,4.61538461538462
SHIB-EUR,SHIBA INU,0.00001095,4.58452722063037
DOT-EUR,Polkadot,3.43,4.57317073170732
BAT-EUR,Basic Attention Token,0.11348,4.54168585905113
XTZ-GBP,Tezos,0.415,4.53400503778338
ARPA-USD,ARPA Chain,0.0208,4.52261306532663
ARPA-USDC,ARPA Chain,0.0208,4.52261306532663
XLM-USDT,Stellar Lumens,0.2642,4.50949367088608
MOODENG-USDC,Moo Deng,0.1856,4.5045045045045
MOODENG-USD,Moo Deng,0.1856,4.5045045045045
PUNDIX-USDC,Pundi X (New),0.3133,4.50300200133422
PUNDIX-USD,Pundi X (New),0.3133,4.50300200133422
BLUR-USD,Blur,0.0861,4.49029126213592
BLUR-USDC,Blur,0.0861,4.49029126213592
IP-USDC,Story,3.992,4.47526825438367
IP-USD,Story,3.992,4.47526825438367
SXT-USD,Space and Time,0.0947,4.41014332965821
SXT-USDC,Space and Time,0.0947,4.41014332965821
BAL-USD,Balancer,1.0425,4.40660991487231
BAL-USDC,Balancer,1.0425,4.40660991487231
MANA-EUR,Decentraland,0.238,4.3859649122807
REZ-USDC,Renzo,0.01024,4.38328236493374
REZ-USD,Renzo,0.01024,4.38328236493374
XLM-EUR,Stellar Lumens,0.231638,4.3734116756484
MAGIC-USDC,MAGIC,0.1244,4.36241610738255
MAGIC-USD,MAGIC,0.1244,4.36241610738255
LCX-USDC,LCX,0.1295,4.35132957292506
LCX-USD,LCX,0.1295,4.35132957292506
MNDE-USDC,Marinade,0.11452,4.32722966202059
MNDE-USD,Marinade,0.11452,4.32722966202059
API3-USD,Api3,0.678,4.30769230769231
API3-USDC,Api3,0.678,4.30769230769231
KSM-USDC,Kusama,15.51,4.3039677202421
KSM-USD,Kusama,15.51,4.3039677202421
ETH-GBP,Ethereum,1850.38,4.30199655028579
ADA-ETH,Cardano,0.000267,4.296875
XTZ-USDC,Tezos,0.559,4.2910447761194
XTZ-USD,Tezos,0.559,4.2910447761194
VOXEL-USD,Voxies,0.0536,4.28015564202335
VOXEL-USDC,Voxies,0.0536,4.28015564202335
GRT-USDC,The Graph,0.0902,4.27745664739884
GRT-USD,The Graph,0.0902,4.27745664739884
BADGER-USD,Badger DAO,0.98,4.25531914893617
BADGER-USDC,Badger DAO,0.98,4.25531914893617
XTZ-EUR,Tezos,0.49,4.25531914893617
ACH-USDC,Alchemy Pay,0.020447,4.2469664525339
ACH-USD,Alchemy Pay,0.020447,4.2469664525339
BTC-EUR,Bitcoin,91763.95,4.23761745964005
TNSR-USDC,Tensor,0.124,4.20168067226891
TNSR-USD,Tensor,0.124,4.20168067226891
UNI-GBP,Uniswap,4.47,4.1958041958042
WLD-USD,Worldcoin,1.068,4.19512195121951
WLD-USDC,Worldcoin,1.068,4.19512195121951
LSETH-USDC,Liquid Staked ETH,2698.03,4.17627139586157
LSETH-USD,Liquid Staked ETH,2698.03,4.17627139586157
EGLD-USDC,MultiversX,14.97,4.17536534446764
EGLD-USD,MultiversX,14.97,4.17536534446764
SHIB-USD,SHIBA INU,0.00001248,4.17362270450751
SHIB-USDC,SHIBA INU,0.00001248,4.17362270450751
PYR-USDC,Vulcan Forged PYR,1.024,4.17090539165819
PYR-USD,Vulcan Forged PYR,1.024,4.17090539165819
NKN-USDC,NKN,0.0275,4.16666666666667
NKN-USD,NKN,0.0275,4.16666666666667
ETC-EUR,Ethereum Classic,14.75,4.16666666666667
ZRX-USD,0x Protocol,0.233074,4.1541170266961
ZRX-USDC,0x Protocol,0.233074,4.1541170266961
HFT-USDC,Hashflow,0.0553,4.14312617702448
HFT-USD,Hashflow,0.0553,4.14312617702448
AXL-USD,Axelar,0.3104,4.12613217041261
AXL-USDC,Axelar,0.3104,4.12613217041261
DASH-USDC,Dash,21.26,4.11361410381978
DASH-USD,Dash,21.26,4.11361410381978
NEAR-USDC,NEAR Protocol,2.331,4.1089772219741
NEAR-USD,NEAR Protocol,2.331,4.1089772219741
CHZ-EUR,Chiliz,0.033,4.10094637223975
BTC-GBP,Bitcoin,77281.8,4.0872416095758
AKT-USD,Akash Network,1.223,4.08510638297872
AKT-USDC,Akash Network,1.223,4.08510638297872
KNC-USDC,Kyber Network,0.3271,4.07254215717467
KNC-USD,Kyber Network,0.3271,4.07254215717467
XLM-USD,Stellar Lumens,0.263978,4.07134211968413
XLM-USDC,Stellar Lumens,0.263978,4.07134211968413
PROMPT-USDC,Wayfinder,0.1794,4.05428919436228
PROMPT-USD,Wayfinder,0.1794,4.05428919436228
GST-USD,Green Satoshi Token,0.007215,4.03749098774333
GST-USDC,Green Satoshi Token,0.007215,4.03749098774333
CBETH-USD,Coinbase Wrapped Staked ETH,2757.02,4.0337796024331
CBETH-USDC,Coinbase Wrapped Staked ETH,2757.02,4.0337796024331
APT-USD,Aptos,4.65,4.02684563758389
APT-USDC,Aptos,4.65,4.02684563758389
SPELL-USDC,Spell Token,0.0005136,3.98866167240332
SPELL-USD,Spell Token,0.0005136,3.98866167240332
KAITO-USDC,Kaito,1.647,3.97727272727273
KAITO-USD,Kaito,1.647,3.97727272727273
ETH-USD,Ethereum,2503.31,3.96237385273475
ETH-USDC,Ethereum,2503.31,3.96237385273475
ENA-USD,Ethena,0.2974,3.94966794826984
ENA-USDC,Ethena,0.2974,3.94966794826984
ETH-USDT,Ethereum,2501.76,3.93685085168259
FIL-EUR,Filecoin,2.12,3.92156862745098
RLC-USDC,iExec RLC,0.9886,3.92095027856617
RLC-USD,iExec RLC,0.9886,3.92095027856617
POWR-USD,Powerledger,0.1592,3.91644908616188
POWR-USDC,Powerledger,0.1592,3.91644908616188
CLANKER-USD,tokenbot,25.56,3.90243902439024
CLANKER-USDC,tokenbot,25.56,3.90243902439024
INV-USDC,Inverse Finance,27.02,3.88312187620146
INV-USD,Inverse Finance,27.02,3.88312187620146
ROSE-USDC,Oasis Network,0.02689,3.86249517188104
ROSE-USD,Oasis Network,0.02689,3.86249517188104
